temperatura,no_nodos_conectados,porcentaje_nodos,no_conexiones,porcentaje_conexiones,no_clusters_total,clusters_conectados
278,18,0.9,32,0.1523809524,6,4
279,18,0.9,27,0.1285714286,7,5
280,17,0.85,25,0.119047619,8,5
281,17,0.85,21,0.1,8,5
282,17,0.85,25,0.119047619,8,5
283,20,1,42,0.2,4,4
284,18,0.9,32,0.1523809524,6,4
285,18,0.9,27,0.1285714286,7,5
286,17,0.85,25,0.119047619,8,5
287,18,0.9,36,0.1714285714,6,4
288,13,0.65,22,0.1047619048,10,3
289,15,0.75,33,0.1571428571,8,3
290,20,1,40,0.1904761905,4,4
291,17,0.85,25,0.119047619,8,5
292,16,0.8,43,0.2047619048,7,3
293,18,0.9,32,0.1523809524,6,4
294,16,0.8,18,0.08571428571,9,5
295,18,0.9,27,0.1285714286,7,5
296,18,0.9,36,0.1714285714,6,4
297,18,0.9,32,0.1523809524,6,4
298,18,0.9,25,0.119047619,7,5
